"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",시군,통합,춘천시,춘천시,양구군,원주시,원주시,원주시,강릉시,동해시,삼척시,평창군,정선군,횡성군,고성군,양양군,속초시,철원군,홍천군,영월군,화천군,태백시,인제군
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",09일,0.010,0.013,0.014,0.008,0.012,0.007,0.014,0.014,0.022,0.016,0.005,0.005,0.007,0.006,0.006,0.011,0.007,0.009,0.006,0.006,0.008,0.007
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",10일,0.009,0.012,0.007,0.004,0.011,0.008,0.017,0.013,0.012,0.018,0.005,0.004,0.008,0.004,0.005,0.011,0.006,0.012,0.006,0.004,0.008,0.004
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",11일,0.178,0.015,0.014,0.007,0.018,0.018,0.015,0.014,0.019,0.013,0.008,0.005,0.012,0.005,0.005,0.017,0.007,0.012,3.507,0.005,0.009,0.005
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",12일,0.013,0.017,0.015,0.008,0.022,0.022,0.018,0.021,0.028,0.015,0.008,0.007,0.016,0.006,0.007,0.016,0.008,0.017,0.007,0.006,0.010,0.008
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",13일,0.012,0.017,0.018,0.010,0.018,0.017,0.015,0.012,0.027,0.018,0.010,0.007,0.013,0.006,0.008,0.009,0.008,0.016,0.007,0.007,0.010,0.009
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",14일,0.011,0.018,0.015,0.010,0.017,0.015,0.015,0.010,0.013,0.012,0.009,0.008,0.013,0.006,0.007,0.007,0.008,0.016,0.006,0.007,0.006,0.007
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",15일,0.012,0.022,0.017,0.009,0.018,0.019,0.016,0.015,0.010,0.019,0.010,0.007,0.012,0.006,0.006,0.009,0.009,0.014,0.009,0.007,0.009,0.005
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",16일,0.124,0.022,0.021,0.012,0.022,0.021,0.017,0.011,0.016,0.017,0.009,1.176,0.013,0.007,0.007,0.008,0.010,0.018,0.008,0.009,1.175,0.010
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",17일,0.014,0.019,0.020,0.012,0.021,0.020,0.019,0.018,0.024,0.020,0.009,0.010,0.013,0.007,0.007,0.011,0.009,0.018,0.008,0.008,0.010,0.009
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",18일,0.012,0.019,0.019,0.013,0.017,0.015,0.016,0.009,0.016,0.012,0.010,0.010,0.012,0.005,0.007,0.007,0.011,0.018,0.007,0.012,0.008,0.009
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",19일,0.009,0.013,0.012,0.007,0.016,0.013,0.014,0.013,0.010,0.008,0.007,0.010,0.011,0.005,0.007,0.008,0.006,0.013,0.005,0.005,0.008,0.007
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",20일,0.011,0.014,0.014,0.008,0.015,0.014,0.014,0.019,0.021,0.015,0.007,0.008,0.010,0.006,0.007,0.013,0.008,0.011,0.006,0.005,0.009,0.006
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",21일,0.009,0.012,0.011,0.006,0.011,0.009,0.012,0.011,0.014,0.013,0.007,0.009,0.010,0.004,0.006,0.006,0.004,0.010,0.004,0.004,0.010,0.006
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",22일,0.012,0.020,0.018,0.008,0.019,0.016,0.015,0.015,0.018,0.013,0.008,0.012,0.014,0.005,0.008,0.008,0.009,0.013,0.004,0.007,0.011,0.007
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",23일,0.068,0.008,0.013,0.009,0.017,0.014,0.017,0.020,0.028,0.023,1.176,0.008,0.011,0.009,0.012,0.015,0.012,0.012,0.004,0.008,0.008,0.007
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",24일,0.009,0.008,0.011,0.007,0.012,0.011,0.011,0.011,0.012,0.015,0.005,0.008,0.009,0.007,0.006,0.013,0.010,0.009,0.004,0.006,0.010,0.006
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",25일,0.007,0.008,0.004,0.004,0.011,0.011,0.013,0.010,0.006,0.010,0.003,0.008,0.007,0.004,0.006,0.007,0.004,0.006,0.004,0.002,0.008,0.004
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",26일,0.007,0.010,0.004,0.003,0.012,0.010,0.012,0.012,0.007,0.011,0.004,0.006,0.007,0.003,0.005,0.006,0.004,0.007,0.005,0.003,0.009,0.004
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",27일,0.008,0.012,0.010,0.005,0.013,0.013,0.010,0.010,0.015,0.014,0.004,0.006,0.008,0.004,0.005,0.011,0.004,0.009,0.006,0.003,0.008,0.004
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",28일,0.011,0.010,0.011,0.008,0.016,0.015,0.014,0.010,0.028,0.015,0.008,0.010,0.011,0.005,0.007,0.010,0.006,0.012,0.010,0.006,0.008,0.007
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",29일,0.013,0.015,0.016,0.008,0.020,0.020,0.017,0.019,0.020,0.015,0.006,0.011,0.012,0.008,0.011,0.018,0.007,0.014,0.006,0.006,0.016,0.008
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",30일,0.067,0.013,0.015,0.008,0.015,0.015,0.016,0.015,0.021,0.017,0.006,0.010,0.011,0.006,0.008,0.011,0.006,0.013,1.172,0.005,0.014,0.007
,31일,0.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
